total: x_center=1033.9837646484375, y_center=420.46636962890625, width=272.392333984375, height=202.8717041015625
total: x_center=1039.210693359375, y_center=740.337646484375, width=288.7027587890625, height=164.36688232421875
weak entity: x_center=1796.642822265625, y_center=233.21804809570312, width=208.087158203125, height=108.81462097167969
weak relationship: x_center=94.22425842285156, y_center=1175.2890625, width=166.20172119140625, height=88.5970458984375
derived attribute: x_center=1375.25927734375, y_center=1345.404541015625, width=284.8670654296875, height=109.8621826171875
derived attribute: x_center=1463.4561767578125, y_center=384.1075439453125, width=291.883544921875, height=120.37753295898438
total: x_center=847.7340087890625, y_center=1359.40185546875, width=291.52886962890625, height=155.733642578125
weak relationship: x_center=1356.273193359375, y_center=614.86376953125, width=166.182373046875, height=85.89910888671875
weak relationship: x_center=1572.71337890625, y_center=1543.86767578125, width=140.331298828125, height=84.4864501953125
weak entity: x_center=1015.7839965820312, y_center=1175.0538330078125, width=171.2047119140625, height=89.968505859375
total: x_center=1827.674560546875, y_center=1220.750244140625, width=289.447265625, height=157.0125732421875
derived attribute: x_center=264.08538818359375, y_center=994.0775146484375, width=309.0970764160156, height=109.5244140625
weak relationship: x_center=1505.7255859375, y_center=853.9518432617188, width=168.437744140625, height=86.678955078125
weak relationship: x_center=1325.13818359375, y_center=165.769775390625, width=207.2027587890625, height=102.64612579345703
derived attribute: x_center=1014.0799560546875, y_center=985.4347534179688, width=209.06610107421875, height=108.3775634765625
weak relationship: x_center=832.3089599609375, y_center=1549.753662109375, width=170.27947998046875, height=91.7257080078125
weak entity: x_center=2066.39794921875, y_center=1053.915283203125, width=180.772705078125, height=85.654296875
derived attribute: x_center=1796.31103515625, y_center=974.7415771484375, width=291.437255859375, height=110.941162109375
weak relationship: x_center=1812.47607421875, y_center=1412.914794921875, width=144.0460205078125, height=89.5970458984375
weak relationship: x_center=1327.1005859375, y_center=735.191162109375, width=168.3414306640625, height=89.62103271484375
total: x_center=697.6456298828125, y_center=1003.1171264648438, width=289.77850341796875, height=164.9281005859375
weak entity: x_center=198.08555603027344, y_center=1285.060791015625, width=176.64810180664062, height=85.404052734375
weak relationship: x_center=573.0904541015625, y_center=439.6451110839844, width=149.85366821289062, height=75.10357666015625
weak entity: x_center=1234.5865478515625, y_center=1574.0037841796875, width=167.385009765625, height=91.505859375
weak entity: x_center=740.1465454101562, y_center=474.31280517578125, width=165.824462890625, height=84.49050903320312
weak relationship: x_center=2064.729248046875, y_center=865.0765380859375, width=185.5440673828125, height=88.84991455078125
