File Name,Original Dimensions,Resized Dimensions,Original Size (KB),Processed Size (KB),Mean Pixel Intensity,Standard Deviation,Visual Quality
img1.png,2170x1720,640x640,892.11,55.80,243.54,31.16,Processed and Augmented
img11.png,2281x2280,640x640,753.15,30.15,247.43,23.23,Processed and Augmented
img12.png,1344x1439,640x640,459.85,60.49,244.65,31.73,Processed and Augmented
img14.png,474x342,640x640,72.34,59.39,236.85,40.84,Processed and Augmented
img2.png,474x474,640x640,82.28,73.59,246.28,29.07,Processed and Augmented
img20.png,1705x649,640x640,76.17,47.81,245.47,41.44,Processed and Augmented
img21.png,708x537,640x640,220.65,64.58,228.84,49.37,Processed and Augmented
img22.png,1361x537,640x640,94.83,27.14,250.68,21.43,Processed and Augmented
img23.png,886x597,640x640,165.21,53.16,247.04,31.80,Processed and Augmented
img26.png,957x707,640x640,342.64,85.56,243.44,38.89,Processed and Augmented
img27.png,982x237,640x640,130.75,60.03,200.53,77.93,Processed and Augmented
img28.png,507x431,640x640,60.85,39.42,249.70,22.71,Processed and Augmented
img3.png,2910x1800,640x640,209.53,39.47,239.42,44.43,Processed and Augmented
img30.png,592x362,640x640,61.09,54.71,239.11,46.18,Processed and Augmented
img33.png,372x448,640x640,121.40,67.95,207.69,79.97,Processed and Augmented
img37.png,1152x362,640x640,203.82,72.50,243.66,38.33,Processed and Augmented
img38.png,762x197,640x640,101.90,79.81,241.38,40.30,Processed and Augmented
img39.png,756x150,640x640,90.49,94.12,237.54,44.25,Processed and Augmented
img4.png,2850x2400,640x640,251.66,36.67,227.00,29.49,Processed and Augmented
img40.png,960x183,640x640,53.26,54.86,243.21,40.58,Processed and Augmented
img42.png,386x150,640x640,11.09,59.60,230.89,65.81,Processed and Augmented
img43.png,1024x388,640x640,82.94,38.33,246.89,37.43,Processed and Augmented
img45.png,1081x451,640x640,111.41,37.35,245.90,33.27,Processed and Augmented
img47.png,850x392,640x640,28.10,24.81,3.14,14.32,Processed and Augmented
img48.png,800x295,640x640,54.43,59.47,242.81,46.25,Processed and Augmented
img49.png,1178x503,640x640,155.49,56.43,235.26,43.45,Processed and Augmented
img5.png,474x297,640x640,109.81,108.75,241.11,38.74,Processed and Augmented
img50.png,672x323,640x640,51.86,42.44,242.68,47.03,Processed and Augmented
img51.png,885x570,640x640,20.54,15.23,249.55,22.78,Processed and Augmented
img52.png,644x193,640x640,16.01,27.59,249.06,32.53,Processed and Augmented
img53.png,1453x462,640x640,109.15,39.37,231.30,45.88,Processed and Augmented
img54.png,531x147,640x640,39.82,88.20,230.91,64.73,Processed and Augmented
img7.png,8650x6084,640x640,1248.23,56.73,242.85,46.77,Processed and Augmented
img8.png,2860x2087,640x640,1171.21,58.09,235.27,46.20,Processed and Augmented
