                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1013,                 4.2067,                 1.0533,                0.12401,                0.38694,                0.12559,                0.10196,                 1.0454,                 3.1809,                 1.0163,              8.004e-05,              8.004e-05,              8.004e-05
                      2,                 1.0402,                 2.1153,                 1.0242,                0.57733,                0.24909,                0.24319,                0.20069,                0.89367,                 2.6669,                 0.9649,             0.00016592,             0.00016592,             0.00016592
                      3,                0.97634,                 1.6518,                 1.0139,                0.72359,                0.26685,                0.28633,                 0.2342,                0.89012,                 2.2274,                0.96549,             0.00025095,             0.00025095,             0.00025095
                      4,                0.95522,                 1.4181,                0.98325,                 0.5447,                0.37725,                0.34659,                0.28371,                0.95105,                 1.5846,                0.97372,             0.00033512,             0.00033512,             0.00033512
                      5,                0.95497,                 1.2767,                0.97711,                0.48037,                0.39937,                0.36725,                0.30435,                0.93516,                 1.6114,                0.96574,             0.00041843,             0.00041843,             0.00041843
                      6,                0.96839,                 1.2388,                 1.0098,                0.40716,                0.56452,                0.39003,                0.32163,                0.89118,                 1.4044,                0.94943,             0.00050088,             0.00050088,             0.00050088
                      7,                0.95396,                 1.2274,                0.97879,                0.44407,                0.52518,                 0.4089,                0.33489,                0.92904,                 1.2468,                0.95508,             0.00058247,             0.00058247,             0.00058247
                      8,                0.95529,                 1.2015,                0.97653,                0.44777,                0.56717,                0.40414,                0.32975,                0.93416,                 1.1617,                0.96141,             0.00064389,             0.00064389,             0.00064389
                      9,                0.92396,                 1.0797,                0.97409,                0.44777,                0.56717,                0.40414,                0.32975,                0.93416,                 1.1617,                0.96141,             0.00064059,             0.00064059,             0.00064059
                     10,                0.93107,                 1.0748,                 0.9595,                0.58937,                 0.4807,                0.45476,                 0.3721,                0.89747,                 1.0977,                0.94854,             0.00063729,             0.00063729,             0.00063729
                     11,                0.94778,                 1.0216,                0.94978,                0.67466,                0.45192,                0.47487,                0.38411,                 0.9304,                 1.1015,                0.95345,             0.00063398,             0.00063398,             0.00063398
                     12,                0.95208,                0.99645,                0.95285,                 0.7616,                 0.4322,                 0.4745,                0.38404,                 0.9247,                 1.0401,                0.95548,             0.00063068,             0.00063068,             0.00063068
                     13,                0.92051,                  0.972,                0.94937,                0.82691,                0.41798,                0.51201,                0.42184,                0.88097,                0.90528,                0.94232,             0.00062738,             0.00062738,             0.00062738
                     14,                0.95691,                 0.9988,                0.96463,                0.76158,                0.47457,                0.53672,                0.43893,                0.88201,                0.85066,                0.93382,             0.00062408,             0.00062408,             0.00062408
                     15,                0.93424,                0.94887,                0.96824,                0.76158,                0.47457,                0.53672,                0.43893,                0.88201,                0.85066,                0.93382,             0.00062078,             0.00062078,             0.00062078
                     16,                0.96276,                0.96634,                0.98482,                0.85108,                0.45918,                0.56535,                0.45923,                0.88928,                0.82085,                0.93629,             0.00061748,             0.00061748,             0.00061748
                     17,                0.92477,                0.88953,                0.97039,                0.82944,                0.53237,                0.56928,                0.46465,                 0.8739,                0.80549,                0.93041,             0.00061417,             0.00061417,             0.00061417
                     18,                0.90659,                0.80853,                0.94106,                0.76664,                0.58972,                0.58744,                 0.4855,                0.83938,                 0.7695,                0.91728,             0.00061087,             0.00061087,             0.00061087
                     19,                 0.8972,                0.83561,                0.94035,                0.83779,                0.57254,                0.60795,                0.50263,                0.84243,                0.74138,                0.91841,             0.00060757,             0.00060757,             0.00060757
                     20,                0.86482,                0.78546,                0.94303,                0.83779,                0.57254,                0.60795,                0.50263,                0.84243,                0.74138,                0.91841,             0.00060427,             0.00060427,             0.00060427
