                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4395,                 5.5525,                 1.3264,                0.66299,                0.01314,                0.00799,                 0.0065,                 1.3015,                 4.9216,                 1.3593,              1.155e-05,              1.155e-05,              1.155e-05
                      2,                 1.2957,                 4.5504,                 1.2035,                0.02461,                 0.0755,                0.01933,                0.01617,                 1.2832,                 4.5096,                  1.315,             2.5616e-05,             2.5616e-05,             2.5616e-05
                      3,                 1.3165,                 3.5083,                 1.2345,                0.02504,                0.06879,                0.02114,                0.01791,                 1.2722,                 4.0244,                 1.2913,             3.8157e-05,             3.8157e-05,             3.8157e-05
                      4,                 1.2751,                 2.6911,                 1.1714,                0.51753,                0.02975,                  0.023,                0.01874,                 1.1978,                 4.6005,                 1.2283,             4.9174e-05,             4.9174e-05,             4.9174e-05
                      5,                 1.2483,                 2.3951,                 1.1806,                0.48007,                0.02994,                0.02854,                 0.0224,                 1.1798,                 4.4702,                 1.2041,             5.8666e-05,             5.8666e-05,             5.8666e-05
                      6,                 1.2156,                 2.1453,                 1.1631,                0.65498,                0.02971,                0.03293,                0.02642,                 1.1713,                 3.6784,                  1.186,             6.6634e-05,             6.6634e-05,             6.6634e-05
                      7,                 1.1542,                 2.1677,                 1.1075,                0.04276,                0.11339,                0.05129,                 0.0393,                 1.1512,                   3.19,                 1.1549,             7.3077e-05,             7.3077e-05,             7.3077e-05
                      8,                 1.1693,                   1.77,                 1.0937,                0.42246,                0.06859,                0.05921,                0.04659,                 1.1248,                 2.9012,                 1.1226,             7.7995e-05,             7.7995e-05,             7.7995e-05
                      9,                 1.1342,                 1.7842,                 1.0916,                0.54744,                0.09237,                0.07415,                0.05945,                 1.0973,                 2.5641,                 1.0942,             8.1389e-05,             8.1389e-05,             8.1389e-05
                     10,                 1.1226,                 1.8705,                 1.1259,                 0.6165,                0.10787,                0.07729,                0.06238,                 1.0819,                 2.2932,                 1.0738,             8.3258e-05,             8.3258e-05,             8.3258e-05
