                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2906,                 4.8147,                 1.1753,                0.02148,                0.21034,                0.02766,                0.02338,                 1.2568,                 4.4131,                 1.2042,              5.005e-05,              5.005e-05,              5.005e-05
                      2,                 1.2135,                 3.3039,                 1.1238,                0.28722,                 0.1301,                0.07398,                0.06196,                 1.2504,                 3.4517,                 1.1533,             0.00010292,             0.00010292,             0.00010292
                      3,                 1.1911,                  2.682,                 1.1146,                0.61847,                0.16041,                0.12035,                0.09644,                 1.1171,                 4.6411,                 1.0952,             0.00015472,             0.00015472,             0.00015472
                      4,                 1.0754,                 7.2977,                 1.0045,                0.66277,                0.17068,                 0.1246,                0.10237,                  1.099,                 4.0046,                 1.0863,             0.00020546,             0.00020546,             0.00020546
                      5,                 1.1665,                  2.362,                 1.0986,                0.73256,                0.16121,                0.12056,                0.09768,                 1.1452,                 3.3655,                  1.091,             0.00025513,             0.00025513,             0.00025513
                      6,                 1.2564,                 2.2127,                 1.0726,                0.63413,                0.16966,                 0.1337,                0.10507,                 1.1476,                 2.9541,                 1.0651,             0.00030373,             0.00030373,             0.00030373
                      7,                 1.1585,                 1.9817,                 1.0467,                0.55434,                0.24428,                0.14543,                 0.1153,                 1.1056,                 2.9329,                 1.0336,             0.00035127,             0.00035127,             0.00035127
                      8,                 1.1482,                 1.7409,                 1.0043,                0.68046,                0.23467,                0.18027,                0.14431,                 1.0715,                 3.1294,                 1.0142,             0.00035832,             0.00035832,             0.00035832
                      9,                 1.0946,                 1.6267,                 1.0001,                 0.5925,                0.28484,                0.20614,                0.16576,                 1.0258,                 3.2583,                 1.0054,             0.00035451,             0.00035451,             0.00035451
                     10,                 1.0877,                 1.8498,                 1.0271,                0.60407,                0.26224,                0.21682,                 0.1706,                 1.0242,                 2.7056,                0.99535,              0.0003507,              0.0003507,              0.0003507
                     11,                 1.1176,                 1.6601,                  1.013,                 0.6136,                0.38714,                0.24067,                0.18894,                 1.0108,                 2.1396,                0.98767,             0.00034689,             0.00034689,             0.00034689
                     12,                 1.1109,                 1.7411,                 1.0193,                 0.6069,                0.36201,                0.25199,                0.20019,                 1.0022,                 1.9335,                0.98315,             0.00034307,             0.00034307,             0.00034307
                     13,                 1.0315,                  1.741,                0.98955,                0.70221,                0.29113,                0.26713,                 0.2125,                 1.0229,                 1.8251,                0.98807,             0.00033926,             0.00033926,             0.00033926
                     14,                 1.0658,                 1.5629,                0.99041,                0.70221,                0.29113,                0.26713,                 0.2125,                 1.0229,                 1.8251,                0.98807,             0.00033545,             0.00033545,             0.00033545
                     15,                 1.0986,                 1.5865,                 1.0111,                0.76221,                0.23015,                0.26177,                0.20579,                 1.0057,                 1.7785,                0.99152,             0.00033164,             0.00033164,             0.00033164
                     16,                  1.094,                 1.5513,                 1.0137,                0.75948,                0.22205,                0.26964,                 0.2076,                0.99423,                 1.7416,                0.98877,             0.00032783,             0.00032783,             0.00032783
