                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3664,                 4.5012,                 1.2027,                 0.0326,                0.20542,                0.04133,                0.03099,                  1.312,                 3.9057,                 1.1827,              5.005e-05,              5.005e-05,              5.005e-05
                      2,                 1.2546,                 2.9842,                 1.1235,                0.26858,                0.15481,                0.09157,                0.07077,                 1.2963,                 2.5584,                 1.1564,             0.00010292,             0.00010292,             0.00010292
                      3,                 1.2604,                 2.1839,                 1.1301,                0.66201,                0.15031,                0.14185,                0.10964,                 1.2107,                 2.2427,                 1.1112,             0.00015472,             0.00015472,             0.00015472
                      4,                 1.1902,                 1.8417,                 1.0897,                0.68277,                0.16653,                0.14504,                0.11242,                 1.2056,                 2.0669,                 1.0993,             0.00020546,             0.00020546,             0.00020546
                      5,                 1.2029,                 2.0016,                 1.1013,                0.75716,                0.19498,                0.16081,                0.12332,                 1.2293,                  1.986,                 1.0888,             0.00025513,             0.00025513,             0.00025513
                      6,                 1.2322,                 1.7759,                 1.0589,                0.62336,                0.23759,                0.17986,                0.13618,                 1.2252,                 1.7591,                 1.0653,             0.00030373,             0.00030373,             0.00030373
                      7,                 1.1735,                 1.5731,                 1.0426,                0.64696,                0.22528,                0.19088,                0.14429,                 1.1741,                 1.6604,                 1.0336,             0.00035127,             0.00035127,             0.00035127
                      8,                 1.1695,                 1.4001,                 1.0156,                0.64656,                0.29824,                0.21475,                0.16397,                 1.1527,                 1.6736,                 1.0208,             0.00035832,             0.00035832,             0.00035832
                      9,                 1.1271,                 1.4269,                 1.0088,                0.62204,                  0.331,                0.23158,                0.17802,                  1.141,                 1.5718,                 1.0167,             0.00035451,             0.00035451,             0.00035451
                     10,                 1.1532,                 1.4989,                 1.0393,                0.58894,                0.29223,                0.24666,                0.18998,                 1.1286,                 1.4137,                 1.0135,              0.0003507,              0.0003507,              0.0003507
                     11,                 1.1432,                 1.3606,                  1.019,                0.68073,                0.28584,                0.26527,                0.20431,                 1.1246,                 1.3158,                 1.0116,             0.00034689,             0.00034689,             0.00034689
                     12,                 1.1541,                 1.4124,                 1.0317,                0.57751,                0.36551,                0.28046,                0.21792,                 1.1161,                 1.2912,                 1.0081,             0.00034307,             0.00034307,             0.00034307
                     13,                 1.1122,                 1.3157,                 1.0161,                0.50304,                0.35973,                0.30559,                0.23724,                 1.1076,                 1.2904,                 1.0068,             0.00033926,             0.00033926,             0.00033926
                     14,                 1.1219,                 1.2925,                 1.0234,                0.50304,                0.35973,                0.30559,                0.23724,                 1.1076,                 1.2904,                 1.0068,             0.00033545,             0.00033545,             0.00033545
                     15,                 1.1578,                  1.278,                 1.0186,                0.49536,                0.34567,                0.32578,                0.25546,                 1.1032,                 1.2366,                 1.0063,             0.00033164,             0.00033164,             0.00033164
                     16,                 1.1405,                 1.2852,                 1.0218,                0.47176,                0.38424,                0.34638,                0.27432,                 1.0887,                 1.2139,                0.99935,             0.00032783,             0.00032783,             0.00032783
                     17,                   1.12,                 1.3103,                 1.0144,                0.58209,                0.39711,                0.34435,                0.27252,                 1.0747,                 1.1718,                0.99285,             0.00032402,             0.00032402,             0.00032402
                     18,                  1.131,                 1.2293,                 1.0065,                0.59149,                0.39096,                0.36252,                0.28446,                 1.0615,                 1.1405,                0.98764,              0.0003202,              0.0003202,              0.0003202
                     19,                  1.068,                 1.2263,                 1.0049,                0.60767,                0.36612,                0.38744,                0.30642,                  1.047,                 1.1344,                0.98363,             0.00031639,             0.00031639,             0.00031639
                     20,                 1.0584,                 1.1584,                0.99183,                 0.4967,                0.39671,                0.39529,                0.31329,                 1.0479,                 1.1385,                0.98578,             0.00031258,             0.00031258,             0.00031258
                     21,                 1.0873,                 1.1958,                 1.0121,                0.53112,                0.45252,                 0.4012,                0.31844,                  1.057,                 1.0838,                  0.986,             0.00030877,             0.00030877,             0.00030877
                     22,                 1.1005,                  1.199,                   1.04,                0.53112,                0.45252,                 0.4012,                0.31844,                  1.057,                 1.0838,                  0.986,             0.00030496,             0.00030496,             0.00030496
                     23,                 1.0697,                 1.1353,                0.99215,                0.53948,                0.46725,                0.40626,                0.32252,                   1.05,                 1.0406,                0.98237,             0.00030115,             0.00030115,             0.00030115
                     24,                 1.0484,                  1.168,                0.99897,                0.54797,                0.46334,                0.42201,                0.33354,                 1.0369,                 1.0234,                0.97854,             0.00029734,             0.00029734,             0.00029734
                     25,                 1.0828,                 1.1499,                0.99628,                0.57489,                0.39753,                0.42739,                0.33949,                 1.0245,                 1.0064,                0.97757,             0.00029352,             0.00029352,             0.00029352
                     26,                 1.0313,                 1.0659,                0.98705,                0.69401,                0.38965,                0.44123,                  0.347,                 1.0125,                0.97116,                0.97706,             0.00028971,             0.00028971,             0.00028971
                     27,                 1.0142,                 1.0551,                0.99148,                0.80686,                0.37537,                0.46834,                0.36722,                 1.0076,                0.94225,                0.97385,              0.0002859,              0.0002859,              0.0002859
                     28,                 1.0329,                 1.0776,                0.98175,                0.80293,                0.40318,                0.49072,                0.38904,                 1.0051,                0.92955,                0.97083,             0.00028209,             0.00028209,             0.00028209
                     29,                 1.0062,                0.95164,                0.95902,                0.80902,                0.42888,                0.50562,                0.40165,                0.99937,                0.90821,                0.96778,             0.00027828,             0.00027828,             0.00027828
                     30,                 1.0066,                0.98913,                0.96415,                0.80902,                0.42888,                0.50562,                0.40165,                0.99937,                0.90821,                0.96778,             0.00027447,             0.00027447,             0.00027447
                     31,                 1.0308,                0.99779,                0.97968,                0.69687,                0.49035,                0.51976,                0.41471,                0.99357,                0.90496,                0.96601,             0.00027065,             0.00027065,             0.00027065
                     32,                 1.0337,                0.99775,                0.97467,                0.75143,                0.49052,                0.53441,                 0.4273,                0.98445,                0.88215,                0.96492,             0.00026684,             0.00026684,             0.00026684
                     33,                0.99429,                0.99539,                0.97692,                0.75139,                0.48827,                0.55684,                 0.4428,                0.97282,                0.83715,                0.96398,             0.00026303,             0.00026303,             0.00026303
                     34,                 1.0105,                  1.069,                 0.9777,                0.75292,                0.49897,                 0.5705,                0.45237,                0.96784,                0.81427,                0.96415,             0.00025922,             0.00025922,             0.00025922
                     35,                 1.0001,                0.92034,                 0.9623,                0.78215,                0.51535,                0.58047,                0.45644,                0.96947,                0.80375,                0.96557,             0.00025541,             0.00025541,             0.00025541
