                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3408,                 3.4293,                 1.1562,                0.32556,                0.13405,                0.11896,                0.09062,                 1.2644,                 2.5946,                 1.1164,              9.282e-05,              9.282e-05,              9.282e-05
                      2,                 1.1819,                 1.9751,                 1.0814,                0.60355,                0.27554,                0.24861,                0.19658,                 1.1549,                  2.432,                 1.0758,             0.00019087,             0.00019087,             0.00019087
                      3,                 1.2187,                  1.525,                 1.0921,                0.40616,                0.31033,                0.27381,                0.20973,                 1.1669,                 2.0362,                 1.0713,             0.00028694,             0.00028694,             0.00028694
                      4,                 1.1678,                 1.3463,                 1.0594,                0.40236,                0.38345,                0.29453,                0.22493,                 1.1605,                 2.3605,                 1.0605,             0.00038104,             0.00038104,             0.00038104
                      5,                  1.128,                 1.3012,                 1.0605,                0.64129,                0.32787,                0.32907,                0.25342,                 1.1173,                 2.0999,                 1.0443,             0.00047315,             0.00047315,             0.00047315
                      6,                 1.1818,                 1.2362,                  1.045,                0.66895,                 0.3974,                0.41294,                0.32909,                 1.1302,                 1.5129,                 1.0416,             0.00056329,             0.00056329,             0.00056329
                      7,                  1.168,                 1.1806,                 1.0433,                0.69267,                0.47231,                0.45695,                0.35946,                 1.1488,                 1.3513,                 1.0428,             0.00065144,             0.00065144,             0.00065144
                      8,                 1.1339,                 1.0968,                 1.0256,                0.63811,                0.50979,                0.47708,                0.37987,                  1.108,                 1.2618,                 1.0317,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.1269,                 1.1285,                 1.0143,                0.54491,                0.53614,                0.50819,                0.40231,                 1.1329,                 1.1971,                 1.0337,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.1049,                 1.1487,                 1.0418,                0.69805,                0.41855,                0.51521,                 0.3978,                 1.0998,                 1.0924,                 1.0198,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.1067,                 1.0538,                 1.0137,                0.69674,                0.45475,                0.54767,                0.41935,                 1.1156,                 1.0278,                 1.0241,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.1138,                 1.0687,                 1.0226,                0.55299,                0.63609,                0.59229,                0.47115,                 1.0855,                0.98233,                  1.022,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.1135,                 1.0303,                 1.0197,                0.69939,                0.60878,                0.61287,                0.48713,                 1.0641,                0.94925,                 1.0234,             0.00062918,             0.00062918,             0.00062918
